# Candidate,TrES-3b,,,,,
# Period,1.306186348,,,,,
# All data spans days,5936.616811,,,,,
# All data spans years,16.3,,,,,
Epoch,Midtime,Midtime_err_minus_days,Midtime_err_plus_days,Midtime_err_minus_sec,Midtime_err_plus_sec,Source
-1117,2454964.399,0.00081,0.00081,69.98,69.98,2013MNRAS.432..944V
-1117,2454964.399,0.00084,0.00084,72.58,72.58,2013MNRAS.432..944V
-1116,2454965.705,0.0001079,0.0001079,9.32,9.32,2013ApJ...764....8K
-1113,2454969.623,0.0011,0.0011,95.04,95.04,2011PASJ...63..301L
-1110,2454973.542,0.0008,0.0008,69.12,69.12,2011PASJ...63..301L
-1110,2454973.542,0.001,0.001,86.4,86.4,2011PASJ...63..301L
-1107,2454977.459,0.0016,0.0016,138.24,138.24,2013MNRAS.432..944V
-1107,2454977.461,0.00089,0.00089,76.9,76.9,2011PASJ...63..301L
-1107,2454977.461,0.00029,0.00029,25.06,25.06,2011PASJ...63..301L
-1107,2454977.461,0.00029,0.00029,25.06,25.06,TRESCA
-1107,2454977.461,0.00067,0.00067,57.89,57.89,2011PASJ...63..301L
-1107,2454977.461,0.00069,0.00069,59.62,59.62,2011PASJ...63..301L
-1106,2454978.768,0.0012,0.0012,103.68,103.68,2011PASJ...63..301L
-1103,2454982.684,0.0007,0.0007,60.48,60.48,2011PASJ...63..301L
-1097,2454990.525,0.0012,0.0012,103.68,103.68,2011PASJ...63..301L
-1095,2454993.135,0.00044,0.00044,38.02,38.02,2011PASJ...63..301L
-1094,2454994.44,0.0007,0.0007,60.48,60.48,2011PASJ...63..301L
-1093,2454995.747,0.0001326,0.0001326,11.46,11.46,2013ApJ...764....8K
-1093,2454995.747,0.00044,0.00044,38.02,38.02,2020AJ....160...47M; 2013MNRAS.428..678T
-1090,2454999.664,0.0009,0.0009,77.76,77.76,2011PASJ...63..301L
-1087,2455003.582,0.0012,0.0012,103.68,103.68,2011PASJ...63..301L
-1086,2455004.89,0.00018,0.00018,15.55,15.55,2020AJ....160...47M; 2013MNRAS.428..678T
-1080,2455012.726,0.0005,0.0005,43.2,43.2,2011PASJ...63..301L
-1076,2455017.952,0.00033,0.00033,28.51,28.51,2020AJ....160...47M; 2013MNRAS.428..678T
-1071,2455024.481,0.00046,0.00046,39.74,39.74,2011PASJ...63..301L
-1058,2455041.463,0.001,0.001,86.4,86.4,2011PASJ...63..301L
